NAME,median_household_income,median_gross_rent,median_home_value,total_pop,white_nonhispanic,black_nonhispanic,hispanic_latino,state,county,tract,year,GEOID,boundary_vintage,cpi,inflation_factor,real_median_household_income,real_median_gross_rent,real_median_home_value
"Census Tract 29.02, Denver County, Colorado",84683.0,991.0,426800.0,3584.0,3305.0,15.0,168.0,08,031,002902,2011,08031002902,2010_tracts,224.93916666666667,1.30104028126123,110175.99413804474,1289.330918729879,555283.992042293
"Census Tract 41.01, Denver County, Colorado",31150.0,843.0,180000.0,3836.0,476.0,1886.0,1278.0,08,031,004101,2011,08031004101,2010_tracts,224.93916666666667,1.30104028126123,40527.40476128732,1096.776957103217,234187.25062702142
"Census Tract 46.01, Denver County, Colorado",43675.0,945.0,163900.0,5713.0,1642.0,33.0,3663.0,08,031,004601,2011,08031004601,2010_tracts,224.93916666666667,1.30104028126123,56822.93428408422,1229.4830657918624,213240.5020987156
"Census Tract 68.10, Denver County, Colorado",55435.0,877.0,208900.0,4819.0,3184.0,668.0,428.0,08,031,006810,2011,08031006810,2010_tracts,224.93916666666667,1.30104028126123,72123.16799171628,1141.0123266660987,271787.31475547096
"Census Tract 68.11, Denver County, Colorado",47203.0,697.0,283800.0,5944.0,4315.0,402.0,512.0,08,031,006811,2011,08031006811,2010_tracts,224.93916666666667,1.30104028126123,61413.00439637384,906.8250760390773,369235.2318219371
"Census Tract 5.01, Denver County, Colorado",74769.0,1020.0,295400.0,2021.0,1593.0,0.0,380.0,08,031,000501,2011,08031000501,2010_tracts,224.93916666666667,1.30104028126123,97277.48078962091,1327.0610868864546,384327.29908456735
"Census Tract 11.02, Denver County, Colorado",54044.0,1059.0,286300.0,2878.0,1420.0,162.0,1196.0,08,031,001102,2011,08031001102,2010_tracts,224.93916666666667,1.30104028126123,70313.42096048192,1377.8016578556426,372487.83252509014
"Census Tract 16, Denver County, Colorado",55306.0,1165.0,290100.0,6781.0,4085.0,857.0,1550.0,08,031,001600,2011,08031001600,2010_tracts,224.93916666666667,1.30104028126123,71955.33379543359,1515.711927669333,377431.78559388284
"Census Tract 23, Denver County, Colorado",41538.0,729.0,258100.0,4460.0,1818.0,1774.0,607.0,08,031,002300,2011,08031002300,2010_tracts,224.93916666666667,1.30104028126123,54042.61120302897,948.4583650394367,335798.4965935235
"Census Tract 32.03, Denver County, Colorado",130321.0,1082.0,691200.0,3094.0,2450.0,48.0,129.0,08,031,003203,2011,08031003203,2010_tracts,224.93916666666667,1.30104028126123,169552.87049424477,1407.725584324651,899279.0424077623
"Census Tract 45.06, Denver County, Colorado",24375.0,719.0,138200.0,2955.0,77.0,117.0,2365.0,08,031,004506,2011,08031004506,2010_tracts,224.93916666666667,1.30104028126123,31712.856855742484,935.4479622268244,179803.766870302
"Census Tract 83.86, Denver County, Colorado",48281.0,1263.0,162200.0,5074.0,300.0,1211.0,3273.0,08,031,008386,2011,08031008386,2010_tracts,224.93916666666667,1.30104028126123,62815.52581957345,1643.2138752329336,211028.73362057153
"Census Tract 83.87, Denver County, Colorado",48900.0,1385.0,166700.0,6206.0,337.0,1705.0,3853.0,08,031,008387,2011,08031008387,2010_tracts,224.93916666666667,1.30104028126123,63620.86975367415,1801.9407895468037,216883.41488624705
"Census Tract 83.88, Denver County, Colorado",50205.0,992.0,183500.0,6224.0,1472.0,1145.0,3229.0,08,031,008388,2011,08031008388,2010_tracts,224.93916666666667,1.30104028126123,65318.727320720056,1290.6319590111402,238740.8916114357
"Census Tract 83.89, Denver County, Colorado",81595.0,1423.0,237200.0,7751.0,1670.0,2336.0,2547.0,08,031,008389,2011,08031008389,2010_tracts,224.93916666666667,1.30104028126123,106158.38174951007,1851.3803202347303,308606.7547151638
"Census Tract 83.90, Denver County, Colorado",55511.0,1153.0,195600.0,7029.0,1338.0,2921.0,2110.0,08,031,008390,2011,08031008390,2010_tracts,224.93916666666667,1.30104028126123,72222.04705309214,1500.0994442941983,254483.4790146966
"Census Tract 83.91, Denver County, Colorado",70463.0,1629.0,177300.0,7118.0,1476.0,2202.0,2913.0,08,031,008391,2011,08031008391,2010_tracts,224.93916666666667,1.30104028126123,91675.20133851006,2119.3946181745437,230674.4418676161
"Census Tract 153, Denver County, Colorado",41224.0,758.0,266500.0,3298.0,2291.0,368.0,254.0,08,031,015300,2011,08031015300,2010_tracts,224.93916666666667,1.30104028126123,53634.08455471295,986.1885331960124,346727.2349561178
